Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.6,0.97135,0.970708,0.956278
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.6,0.974188,0.972696,0.964162
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.6,0.978712,0.973596,0.96691
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.6,0.977594,0.97806,0.972646
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.6,0.980408,0.979074,0.966816
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.6,0.977504,0.97489,0.970566
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.6,0.978614,0.979598,0.972298
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.6,0.974766,0.977226,0.970044
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.6,0.984952,0.982334,0.975158
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.65,0.482364,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.65,0.587172,0.592388,0.596532
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.65,0.689068,0.67424,0.687824
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.65,0.778492,0.748382,0.760658
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.65,0.80526,0.794366,0.795614
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.65,0.855302,0.838542,0.846094
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.65,0.885632,0.865992,0.866212
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.65,0.906472,0.874566,0.89999
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.65,0.925628,0.888116,0.911346
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.65,0.932782,0.905114,0.9177
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.65,0.94636,0.914548,0.939356
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.65,0.950322,0.925248,0.93676
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.65,0.960086,0.938962,0.95004
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.65,0.957228,0.937756,0.945656
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.65,0.958392,0.946566,0.95772
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.65,0.966918,0.950356,0.960836
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.65,0.96517,0.960182,0.966126
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.65,0.971864,0.965194,0.96551
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.65,0.973092,0.9642,0.966616
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.65,0.971234,0.962946,0.965226
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.65,0.975998,0.96724,0.970304
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.65,0.96987,0.972002,0.962204
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.65,0.980816,0.974668,0.97452
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.65,0.976262,0.972516,0.971322
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.65,0.978208,0.975178,0.977472
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.65,0.979,0.97882,0.970174
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.65,0.980112,0.974512,0.971242
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.7,0.515442,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.7,0.628262,0.610952,0.613634
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.7,0.69547,0.660098,0.671342
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.7,0.758024,0.751096,0.725922
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.7,0.8119,0.790394,0.791642
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.7,0.865632,0.848554,0.838112
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.7,0.898124,0.88493,0.87829
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.7,0.921526,0.892668,0.902728
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.7,0.924502,0.904678,0.901562
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.7,0.92666,0.903024,0.914214
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.7,0.937666,0.910264,0.925044
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.7,0.951778,0.93843,0.942398
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.7,0.954866,0.942692,0.944302
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.7,0.950074,0.945234,0.943914
