Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,adults,5400,0.014,0.119,1,4,5,9,45,36,0.6,0.984984,0.979298,0.978016
closed,adults,5400,0.014,0.119,1,4,5,9,46,37,0.6,0.982996,0.978352,0.973184
closed,adults,5400,0.014,0.119,1,4,5,9,47,38,0.6,0.981646,0.978602,0.973068
closed,adults,5400,0.014,0.119,1,4,5,9,48,39,0.6,0.980848,0.975464,0.978778
closed,adults,5400,0.014,0.119,1,4,5,9,49,40,0.6,0.981996,0.97625,0.976734
closed,adults,5400,0.014,0.119,1,4,5,9,50,41,0.6,0.98384,0.97902,0.978328
closed,adults,5400,0.014,0.119,1,4,5,9,51,42,0.6,0.98708,0.98075,0.978364
closed,adults,5400,0.014,0.119,1,4,5,9,52,43,0.6,0.980048,0.973696,0.975134
closed,adults,5400,0.014,0.119,1,4,5,9,53,44,0.6,0.985232,0.980788,0.978798
closed,adults,5400,0.014,0.119,1,4,5,9,54,45,0.6,0.984486,0.979152,0.977814
closed,adults,5400,0.014,0.119,1,4,5,9,55,46,0.6,0.977344,0.974302,0.975942
closed,adults,5400,0.014,0.119,1,4,5,9,56,47,0.6,0.986474,0.980232,0.981258
closed,adults,5400,0.014,0.119,1,4,5,9,0,-9,0.7,0.499378,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,4,5,9,1,-8,0.7,0.59416,0.592708,0.571566
closed,adults,5400,0.014,0.119,1,4,5,9,2,-7,0.7,0.7094,0.69147,0.69216
closed,adults,5400,0.014,0.119,1,4,5,9,3,-6,0.7,0.780494,0.759924,0.75661
closed,adults,5400,0.014,0.119,1,4,5,9,4,-5,0.7,0.814752,0.800552,0.78913
closed,adults,5400,0.014,0.119,1,4,5,9,5,-4,0.7,0.837432,0.548956,0.789712
closed,adults,5400,0.014,0.119,1,4,5,9,6,-3,0.7,0.833102,0.302152,0.758618
closed,adults,5400,0.014,0.119,1,4,5,9,7,-2,0.7,0.810568,0.155366,0.726802
closed,adults,5400,0.014,0.119,1,4,5,9,8,-1,0.7,0.766778,0.079164,0.6782
closed,adults,5400,0.014,0.119,1,4,5,9,9,0,0.7,0.732428,0.048276,0.640884
closed,adults,5400,0.014,0.119,1,4,5,9,10,1,0.7,0.72919,0.111958,0.657306
closed,adults,5400,0.014,0.119,1,4,5,9,11,2,0.7,0.709076,0.194638,0.665704
closed,adults,5400,0.014,0.119,1,4,5,9,12,3,0.7,0.699654,0.285314,0.659564
closed,adults,5400,0.014,0.119,1,4,5,9,13,4,0.7,0.749084,0.41416,0.71543
closed,adults,5400,0.014,0.119,1,4,5,9,14,5,0.7,0.771174,0.523508,0.746754
closed,adults,5400,0.014,0.119,1,4,5,9,15,6,0.7,0.801956,0.59366,0.776454
closed,adults,5400,0.014,0.119,1,4,5,9,16,7,0.7,0.813626,0.671442,0.792846
closed,adults,5400,0.014,0.119,1,4,5,9,17,8,0.7,0.863678,0.725764,0.841416
closed,adults,5400,0.014,0.119,1,4,5,9,18,9,0.7,0.867064,0.77881,0.84691
closed,adults,5400,0.014,0.119,1,4,5,9,19,10,0.7,0.888386,0.81941,0.875784
closed,adults,5400,0.014,0.119,1,4,5,9,20,11,0.7,0.903224,0.85494,0.888144
closed,adults,5400,0.014,0.119,1,4,5,9,21,12,0.7,0.916088,0.87511,0.905452
closed,adults,5400,0.014,0.119,1,4,5,9,22,13,0.7,0.927456,0.891618,0.919738
closed,adults,5400,0.014,0.119,1,4,5,9,23,14,0.7,0.933598,0.913436,0.91896
closed,adults,5400,0.014,0.119,1,4,5,9,24,15,0.7,0.945156,0.924536,0.929262
closed,adults,5400,0.014,0.119,1,4,5,9,25,16,0.7,0.943508,0.927662,0.933686
closed,adults,5400,0.014,0.119,1,4,5,9,26,17,0.7,0.954364,0.93488,0.9422
closed,adults,5400,0.014,0.119,1,4,5,9,27,18,0.7,0.963388,0.953548,0.94806
closed,adults,5400,0.014,0.119,1,4,5,9,28,19,0.7,0.965194,0.957062,0.952466
closed,adults,5400,0.014,0.119,1,4,5,9,29,20,0.7,0.960758,0.955524,0.952316
closed,adults,5400,0.014,0.119,1,4,5,9,30,21,0.7,0.968088,0.959104,0.953826
closed,adults,5400,0.014,0.119,1,4,5,9,31,22,0.7,0.970128,0.960328,0.96198
closed,adults,5400,0.014,0.119,1,4,5,9,32,23,0.7,0.961892,0.962332,0.953608
