Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.15,0.991414,0.73166,0.952712
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.15,0.984738,0.790614,0.951856
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.15,0.967868,0.806564,0.934274
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.15,0.954736,0.828998,0.91537
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.15,0.94544,0.862824,0.919444
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.15,0.945102,0.874256,0.92158
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.15,0.941826,0.89691,0.925268
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.15,0.949844,0.91466,0.920984
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.15,0.945994,0.915672,0.927676
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.15,0.956122,0.931338,0.935178
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.15,0.959914,0.936648,0.945048
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.15,0.959682,0.938684,0.9434
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.15,0.957036,0.94221,0.939936
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.2,0.492502,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.2,0.616056,0.613366,0.606804
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.2,0.669054,0.674142,0.66175
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.2,0.768496,0.753392,0.754674
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.2,0.798084,0.796994,0.794744
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.2,0.852002,0.852736,0.835794
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.2,0.88324,0.873904,0.878144
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.2,0.891026,0.860918,0.87901
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.2,0.928152,0.850838,0.916526
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.2,0.942338,0.818358,0.923582
open,juvs,both,5400,0.014,0.119,1,6,5,11,10,-1,0.2,0.97668,0.794392,0.949136
open,juvs,both,5400,0.014,0.119,1,6,5,11,11,0,0.2,0.985894,0.741174,0.96275
open,juvs,both,5400,0.014,0.119,1,6,5,11,12,1,0.2,0.991772,0.74368,0.967048
open,juvs,both,5400,0.014,0.119,1,6,5,11,13,2,0.2,0.991272,0.765884,0.964398
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.2,0.992086,0.797288,0.965322
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.2,0.98242,0.82311,0.958306
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.2,0.97341,0.852022,0.952026
